website;Offline Capabilities;Push Notifications;Add to Home Screen;Background Sync;Navigation Preload;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management;Background Tasks;Background Fetch
akcaabathaber.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
whitewall.art;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
actualno.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
buyma.us;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
interia.pl;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
names4brands.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
charliekirk.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chambre-syndicale-sophrologie.fr;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
adnsur.com.ar;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
binomo-webtrading.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
chapmanfreeborn.aero;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
misanimales.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ip-phone-forum.de;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tomtop.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
renaultvakilyan.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tryolabs.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ndv.ru;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
moviola.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
just.porn;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
swedenabroad.se;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
placedeslibraires.fr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parentingforbrain.com;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
bbb.fm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thecloudblog.net;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
rankers.co.nz;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
kozaczek.pl;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dm.de;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
dpgshop.co.kr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kajtex.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
gacetadental.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
