,website,domComplexity,cssComplexity,badJavascript,pageWeight,requests
510,laws010.com,100,100,100,100,96
512,thecuriouschickpea.com,100,84,100,100,92
517,cstimer.net,100,100,83,100,100
518,pimido.com,100,88,97,100,100
520,scannerfm.com,76,-1,98,100,89
521,w3docs.com,100,99,100,100,100
525,kari.com,97,90,88,100,76
526,yakimiha.ru,100,97,88,100,83
528,rooshvforum.com,97,49,100,100,88
529,emp-online.com,97,66,87,100,100
530,factburger.com,100,100,75,100,84
533,alenavisage.ru,83,100,88,100,9
534,journalism.co.uk,95,89,60,100,77
535,paperwritings.com,93,45,87,100,96
536,reduno.com.bo,48,49,-8,100,60
537,homespunseasonalliving.com,98,67,100,100,90
539,devialet.com,100,59,100,100,93
541,tvsamara.ru,73,100,82,-66,-3
544,ucpa.com,15,100,100,100,85
546,atupgraded.co,100,14,100,100,92
549,cripto-valuta.net,81,28,100,100,100
551,dieneue1077.de,95,100,100,100,84
552,makelife.gr,86,19,72,100,79
553,ischool.co.jp,100,19,100,100,93
554,stmoritz.com,82,83,88,100,96
555,greenweez.com,-39,67,98,100,98
557,fusioncharts.com,95,45,100,100,91
559,tucomida.online,87,100,17,100,78
560,caferati.me,97,100,78,100,100
561,sarahaa.com,75,52,71,100,77
562,paleoleap.com,100,82,96,100,95
564,medplusmart.com,18,6,94,100,92
565,pornomico.com,96,100,99,100,85
566,rsgoldfast.com,100,41,100,100,92
567,tavsiyeforumu.com,38,100,89,84,74
568,diagrams.net,97,54,100,100,84
569,parafiapanki.pl,100,100,99,100,100
570,swr.de,35,50,99,100,83
571,devoir.tn,45,100,99,-451,33
575,rosarioplus.com,28,94,66,100,71
576,muziken.org,100,85,100,100,100
577,bungalower.com,86,-288,99,100,67
580,flybondi.com,87,100,100,100,78
581,thenortheasttoday.com,99,93,98,100,73
582,fivespotgreenliving.com,98,83,100,100,94
586,ncsemena.ru,48,11,99,100,68
590,thejemreport.com,97,75,100,100,73
591,rainbowshops.com,100,100,100,100,80
592,sklepbazant.pl,-115,-70,85,100,96
594,havwoods.com,100,92,88,100,100
595,creditosrapidos10min.com,33,86,100,100,98
596,yellow.co.nz,100,99,4,100,80
597,bjjfanatics.com,-8,-49,84,100,43
598,eobuwie.com.pl,69,92,99,100,66
599,realas.com,97,99,87,100,77
600,etsglobal.org,97,93,100,100,100
602,kuchicomichan.com,90,67,100,100,100
603,sitnsleep.com,33,3,73,100,80
604,menara.ma,100,24,99,100,79
606,spierfonds.nl,92,94,88,100,95
608,tvcnw.com,100,48,100,100,83
610,scmp.com,83,100,89,85,52
612,discoveratlanta.com,87,100,32,68,29
613,faucetpay.io,100,-70,100,100,87
614,nd.edu,100,100,100,100,92
615,animesuge.io,100,46,99,100,78
618,khafan.today,100,75,88,100,90
619,i9sports.com,73,-121,85,100,81
620,earningguys.com,98,47,100,100,100
621,hilvanhaberleri.com,83,50,100,100,99
626,toptoon.com,87,61,97,100,54
628,willflyforfood.net,98,84,100,100,94
629,lc.nl,55,10,99,100,68
630,whatismycountry.com,93,100,98,100,78
632,3654.ru,41,46,87,100,91
638,smartkeeda.com,100,73,100,100,88
639,livemint.com,83,90,94,100,88
642,photopea.com,100,100,100,100,100
643,titanfx.com,98,84,100,100,99
644,999plumber-reading.co.uk,84,100,99,100,87
648,newschecktoday.com,99,6,74,100,84
649,bartardigital.com,47,18,96,100,90
650,perperook.ir,98,58,100,100,100
651,holidayguru.nl,88,49,99,100,67
655,propertynest.com,100,27,99,100,85
656,cpap.com,88,68,100,100,86
659,vault12.com,90,30,99,100,80
662,culturacientifica.com,100,99,100,100,99
663,familytravelmagazine.com,93,100,89,91,96
664,flyingwithababy.com,98,80,99,100,95
665,daytum.com,100,96,100,100,100
668,makaan.com,68,100,88,100,93
669,teuxdeux.com,98,95,100,100,84
671,budzdorov.ru,44,86,87,100,48
672,odellprinting.com,87,-9,86,100,82
674,thesweetestoccasion.com,100,90,100,100,91
676,bankniftypms.com,87,73,100,100,87
677,rpr1.de,68,99,94,100,74
678,kairosradar.gr,100,100,97,100,95
682,tipp24.com,82,98,84,100,96
683,cryptorefills.com,92,46,97,100,74
684,apkfab.com,100,83,100,100,98
685,emel.website,67,99,87,100,96
687,oodji.com,88,99,99,100,75
688,suiteapp.com,100,100,100,98,96
692,prophetray.com,72,100,100,100,90
693,dealdoktor.de,28,27,98,100,71
696,al-batal.com,83,-145,98,100,89
698,tutorials.de,-555,100,89,88,95
701,baytronik.com,83,-45,98,100,100
702,indiansinkuwait.com,85,100,-46,32,62
703,cafecasino.lv,100,36,85,100,98
704,bultannews.com,50,44,99,100,25
707,communica.co.za,98,44,86,100,65
708,obuvki.bg,65,92,87,100,72
709,cookwithrenu.com,93,89,100,100,84
711,elchubut.com.ar,36,59,55,100,70
712,168xoso.com,43,51,100,100,91
714,pengetahuankita.com,85,0,99,100,100
715,plugins4free.com,86,57,-13,100,65
716,80s80s.de,95,100,100,100,81
717,ballwash.com,94,51,87,100,64
718,adactio.com,100,100,100,100,100
719,vouchercloud.com,-31,100,100,100,100
720,nextinpact.com,82,43,97,100,95
721,stockmusic.ir,92,12,88,100,100
722,mycbselect.com,99,31,96,100,98
725,grimsbytelegraph.co.uk,89,73,75,100,79
726,carid.com,100,99,100,100,100
727,dominvrt.si,78,83,87,100,63
728,myanimals.com,95,99,97,100,77
730,passportsymphony.com,97,68,99,100,71
731,rec.net,100,99,100,100,87
734,bistrocu.com,47,-30,95,100,98
737,actualno.com,72,100,3,66,6
739,thetriangle.org,100,66,99,100,83
740,pelisestreno.com,93,31,100,100,81
744,chicagoflower.com,80,100,100,100,88
749,mavenecommerce.com,98,36,99,100,80
750,fitnessvolt.com,70,4,99,100,90
751,wallpaperup.com,100,93,88,100,87
752,soichat.com,100,73,97,100,97
754,dijilopedi.com,62,-25,-255,100,54
761,progressive.org,93,91,-3,100,64
762,avenir-suisse.ch,97,47,76,100,87
763,usobit.com,75,96,-126,100,60
765,pingo.com,92,73,100,100,94
